Pos.,Squadra,Competizione,N. di giocatori,Età,PG,Min,Min/PG,% min,90 min,Tit,Min/Iniziata,Compl.,Riserva,Min/Ris,RisInut,PAP,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
82,Strasbourg,fr Ligue 1,21,"22,4",4,360,90,100,4.0,44,82,26,18,20,20,"1,25",8,7,+1,"0,25",6.6,6.2,"0,4","0,10"
83,Stuttgart,de Bundesliga,21,"25,3",3,270,90,100,3.0,33,79,18,15,23,12,"1,33",7,7,0,"0,00",6.3,6.0,"0,3","0,11"
84,Torino,it Serie A,21,"27,7",4,360,90,100,4.0,44,81,25,19,20,32,"2,00",5,3,+2,"0,50",4.9,7.6,"-2,7","-0,68"
85,Tottenham,eng Premier League,20,"25,6",4,360,90,100,4.0,44,84,26,18,16,18,"1,00",6,4,+2,"0,50",5.5,4.5,"+1,0","0,26"
86,Toulouse,fr Ligue 1,19,"25,2",4,360,90,100,4.0,44,80,25,18,21,18,"1,25",4,4,0,"0,00",5.0,2.8,"+2,2","0,55"
87,Udinese,it Serie A,19,"27,3",4,360,90,100,4.0,44,81,24,19,20,31,"2,50",7,4,+3,"0,75",5.2,6.9,"-1,7","-0,42"
88,Union Berlin,de Bundesliga,19,"27,9",3,270,90,100,3.0,33,82,18,15,18,12,"1,67",2,1,+1,"0,33",2.3,3.0,"-0,7","-0,23"
89,Valencia,es La Liga,22,"24,3",5,450,90,100,5.0,55,83,31,24,16,31,"0,20",3,10,-7,"-1,40",3.2,9.4,"-6,2","-1,24"
90,Valladolid,es La Liga,22,"26,2",5,450,90,100,5.0,55,79,29,25,23,34,"0,80",2,13,-11,"-2,20",3.3,9.4,"-6,1","-1,22"
91,Venezia,it Serie A,26,"26,8",4,360,90,100,4.0,44,80,23,20,20,27,"0,25",1,8,-7,"-1,75",2.3,6.5,"-4,2","-1,05"
92,Villarreal,es La Liga,20,"28,1",5,450,90,100,5.0,55,81,32,22,21,27,"2,20",11,8,+3,"0,60",7.5,6.2,"+1,3","0,25"
93,Werder Bremen,de Bundesliga,18,"27,7",3,270,90,100,3.0,33,82,21,12,20,15,"1,67",4,3,+1,"0,33",3.4,2.7,"0,7","0,23"
94,West Ham,eng Premier League,21,"28,8",4,360,90,100,4.0,44,81,24,20,20,16,"1,00",5,6,-1,"-0,25",5.1,7.8,"-2,7","-0,67"
95,Wolfsburg,de Bundesliga,19,"25,4",3,270,90,100,3.0,33,83,21,12,19,15,"1,00",5,5,0,"0,00",4.7,6.0,"-1,3","-0,44"
96,Wolves,eng Premier League,22,"27,1",4,360,90,100,4.0,44,82,24,20,17,16,"0,25",4,11,-7,"-1,75",4.4,5.4,"-1,0","-0,25"
