Pos.,Squadra,Competizione,N. di giocatori,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP
30,Freiburg,de Bundesliga,21,3.0,899,1214,"74,1",16064,6187,363,435,"83,4",415,495,"83,8",85,200,"42,5",3,3.6,3.4,-0.6,32,67,11,3,79
31,Fulham,eng Premier League,19,4.0,1552,1926,"80,6",27860,9439,642,715,"89,8",715,829,"86,2",153,275,"55,6",4,4.2,4.2,-0.2,50,109,34,9,152
32,Genoa,it Serie A,19,4.0,1159,1505,"77,0",21568,8521,477,545,"87,5",516,615,"83,9",134,267,"50,2",2,3.2,2.8,-1.2,35,99,27,13,117
33,Getafe,es La Liga,20,5.0,1001,1579,"63,4",19392,9057,433,568,"76,2",385,548,"70,3",153,369,"41,5",2,2.7,2.9,-0.7,48,112,24,10,125
34,Girona,es La Liga,22,5.0,2449,2816,"87,0",42162,12944,1152,1232,"93,5",1091,1185,"92,1",187,311,"60,1",6,5.8,6.0,+0.2,42,228,42,15,236
35,Gladbach,de Bundesliga,18,3.0,1257,1578,"79,7",20947,7737,611,685,"89,2",476,563,"84,5",114,208,"54,8",3,4.6,4.1,-1.6,34,79,26,7,89
36,Heidenheim,de Bundesliga,19,3.0,815,1116,"73,0",15547,6403,327,406,"80,5",355,427,"83,1",107,198,"54,0",5,3.9,2.7,+1.1,22,56,17,4,65
37,Hellas Verona,it Serie A,23,4.0,1169,1539,"76,0",19991,6910,555,626,"88,7",469,582,"80,6",102,242,"42,1",4,3.3,1.8,+0.7,24,90,17,5,110
38,Hoffenheim,de Bundesliga,22,3.0,1174,1450,"81,0",20923,7767,555,608,"91,3",469,556,"84,4",122,211,"57,8",3,3.4,3.9,-0.4,32,110,30,10,119
39,Holstein Kiel,de Bundesliga,21,3.0,960,1234,"77,8",16977,7116,436,492,"88,6",412,485,"84,9",88,198,"44,4",3,2.5,2.1,+0.5,29,49,17,9,72
40,Inter,it Serie A,21,4.0,2050,2368,"86,6",35438,11105,896,973,"92,1",976,1066,"91,6",141,231,"61,0",4,4.4,5.8,-0.4,36,149,43,14,187
41,Ipswich Town,eng Premier League,24,4.0,1066,1374,"77,6",18411,7019,519,569,"91,2",428,508,"84,3",92,206,"44,7",2,1.3,1.4,+0.7,18,68,11,3,71
42,Juventus,it Serie A,23,4.0,2141,2414,"88,7",38544,11200,866,919,"94,2",1058,1154,"91,7",185,265,"69,8",4,2.5,2.1,+1.5,33,112,27,9,128
43,Las Palmas,es La Liga,21,5.0,2300,2830,"81,3",38890,13491,1103,1229,"89,7",976,1141,"85,5",174,342,"50,9",4,4.2,3.7,-0.2,48,156,44,19,177
44,Lazio,it Serie A,21,4.0,1814,2152,"84,3",32620,10379,771,839,"91,9",810,906,"89,4",189,295,"64,1",4,4.9,3.8,-0.9,39,147,31,13,160
45,Le Havre,fr Ligue 1,21,4.0,1241,1586,"78,2",21519,8442,561,645,"87,0",555,645,"86,0",98,213,"46,0",3,3.0,2.8,0.0,31,93,24,9,142
46,Lecce,it Serie A,20,4.0,1227,1574,"78,0",21707,8803,568,634,"89,6",485,576,"84,2",145,300,"48,3",1,4.3,3.6,-3.3,50,99,29,15,102
47,Leganés,es La Liga,22,5.0,1477,1986,"74,4",27174,10141,619,723,"85,6",650,774,"84,0",158,365,"43,3",3,1.9,2.3,+1.1,25,89,26,5,130
48,Leicester City,eng Premier League,20,4.0,1339,1680,"79,7",22286,8382,662,751,"88,1",526,600,"87,7",111,235,"47,2",5,2.8,3.4,+2.2,25,92,19,6,92
49,Lens,fr Ligue 1,21,4.0,1513,1937,"78,1",24343,10069,782,896,"87,3",545,657,"83,0",128,238,"53,8",2,5.3,5.7,-3.3,43,118,41,10,165
50,Leverkusen,de Bundesliga,19,3.0,1679,1940,"86,5",26328,9059,914,994,"92,0",585,657,"89,0",130,194,"67,0",4,5.0,6.7,-1.0,48,150,40,10,159
51,Lille,fr Ligue 1,21,4.0,2147,2511,"85,5",36611,11319,1007,1108,"90,9",950,1052,"90,3",153,233,"65,7",3,4.3,4.6,-1.3,41,182,42,9,229
52,Liverpool,eng Premier League,19,4.0,2048,2410,"85,0",34051,11797,1022,1114,"91,7",838,939,"89,2",146,267,"54,7",6,6.7,6.6,-0.7,51,156,45,9,191
53,Lyon,fr Ligue 1,21,4.0,1399,1787,"78,3",23044,9563,685,788,"86,9",541,639,"84,7",121,225,"53,8",2,3.4,5.7,-1.4,35,116,45,6,169
54,Mainz 05,de Bundesliga,20,3.0,987,1298,"76,0",17957,7151,446,515,"86,6",395,478,"82,6",123,231,"53,2",2,2.7,4.8,-0.7,27,90,31,8,113
55,Mallorca,es La Liga,21,6.0,1985,2557,"77,6",37897,14685,856,978,"87,5",815,967,"84,3",275,488,"56,4",2,2.5,4.8,-0.5,48,172,45,21,206
56,Manchester City,eng Premier League,20,4.0,2425,2709,"89,5",39591,10818,1277,1381,"92,5",954,1026,"93,0",165,218,"75,7",7,7.5,7.0,-0.5,55,192,62,5,224
57,Manchester Utd,eng Premier League,20,4.0,1929,2272,"84,9",31309,10732,919,1020,"90,1",821,910,"90,2",121,206,"58,7",5,7.3,5.5,-2.3,45,131,35,8,164
58,Marseille,fr Ligue 1,23,4.0,2350,2659,"88,4",37325,11988,1192,1262,"94,5",1003,1089,"92,1",108,209,"51,7",6,2.9,3.2,+3.1,31,152,32,6,145
59,Milan,it Serie A,23,4.0,2015,2303,"87,5",34235,10750,921,999,"92,2",931,1025,"90,8",135,221,"61,1",6,4.9,4.2,+1.1,50,143,36,10,196
60,Monaco,fr Ligue 1,20,4.0,1781,2174,"81,9",29040,11257,881,994,"88,6",737,853,"86,4",116,230,"50,4",6,6.8,6.5,-0.8,57,124,43,9,176
61,Montpellier,fr Ligue 1,22,4.0,1491,1820,"81,9",27298,9678,639,699,"91,4",631,709,"89,0",181,318,"56,9",0,1.5,1.9,-1.5,28,117,18,8,137
62,Monza,it Serie A,20,4.0,1539,1898,"81,1",28397,9317,627,703,"89,2",732,830,"88,2",157,282,"55,7",3,1.2,1.7,+1.8,19,84,17,5,94
63,Nantes,fr Ligue 1,21,4.0,1251,1593,"78,5",22535,8499,527,593,"88,9",588,682,"86,2",116,246,"47,2",4,3.3,2.7,+0.7,35,94,30,10,120
64,Napoli,it Serie A,20,4.0,1557,1941,"80,2",25135,9701,794,894,"88,8",621,731,"85,0",103,206,"50,0",9,6.8,5.8,+2.2,59,139,39,11,203
65,Newcastle Utd,eng Premier League,18,4.0,1197,1560,"76,7",20469,8428,594,682,"87,1",484,565,"85,7",98,226,"43,4",6,5.1,4.2,+0.9,36,97,31,7,120
66,Nice,fr Ligue 1,24,4.0,1534,1869,"82,1",25904,9859,707,783,"90,3",701,805,"87,1",103,201,"51,2",5,3.6,3.7,+1.4,31,101,29,5,150
67,Nott'ham Forest,eng Premier League,22,4.0,1235,1642,"75,2",21141,8722,632,727,"86,9",451,568,"79,4",117,253,"46,2",2,3.8,3.1,-1.8,48,102,27,5,125
68,Osasuna,es La Liga,22,5.0,1556,2097,"74,2",29100,11613,676,806,"83,9",657,798,"82,3",189,392,"48,2",2,2.8,3.3,-0.8,34,127,23,11,145
69,Paris S-G,fr Ligue 1,21,4.0,2732,3014,"90,6",44225,12837,1335,1413,"94,5",1139,1215,"93,7",183,252,"72,6",13,10.0,7.2,+3.0,63,177,42,5,234
70,Parma,it Serie A,23,4.0,1253,1567,"80,0",22879,8496,531,606,"87,6",537,611,"87,9",144,267,"53,9",5,4.2,2.7,+0.8,35,64,23,3,90
71,Rayo Vallecano,es La Liga,22,5.0,1372,1931,"71,1",24876,10971,617,730,"84,5",566,704,"80,4",154,368,"41,8",7,3.5,2.6,+3.5,37,126,31,9,166
72,RB Leipzig,de Bundesliga,19,3.0,1425,1720,"82,8",24172,8658,634,733,"86,5",640,714,"89,6",115,194,"59,3",3,2.7,3.5,+0.3,28,100,26,3,115
73,Real Madrid,es La Liga,18,5.0,2790,3173,"87,9",48201,14918,1262,1359,"92,9",1236,1351,"91,5",225,320,"70,3",5,6.4,7.0,-1.4,71,282,55,3,304
74,Real Sociedad,es La Liga,25,6.0,2279,2898,"78,6",40811,14291,1015,1175,"86,4",984,1174,"83,8",230,405,"56,8",2,3.4,3.9,-1.4,37,195,37,10,220
75,Reims,fr Ligue 1,21,4.0,1407,1725,"81,6",25082,9195,619,682,"90,8",618,700,"88,3",134,265,"50,6",4,2.4,3.1,+1.6,29,95,27,5,137
76,Rennes,fr Ligue 1,20,4.0,1410,1735,"81,3",26088,10050,572,648,"88,3",646,749,"86,2",164,267,"61,4",6,3.2,3.8,+2.8,43,129,47,8,181
77,Roma,it Serie A,21,4.0,1812,2168,"83,6",31474,10194,828,907,"91,3",798,901,"88,6",152,270,"56,3",1,4.0,3.6,-3.0,49,128,35,10,161
